project_type,problem_complexity,team_size,expected_duration_months,tech_stack,features_count,external_integrations,ui_ux_complexity,data_handling_required,analytics_required,security_compliance,stakeholders_count,requires_mobile_app,requires_web_portal,existing_system_in_place,geographic_scope,deployment_model,project_priority,risk_factors_count,target_users_count,sprint_count,average_hourly_rate,infrastructure_required,client_industry,third_party_license_cost,project_location,poc_done,hosting_provider,hosting_monthly_cost,hosting_duration_months,team_composition,project_cost_estimate
E-commerce,Medium,14,2,Java + Spring Boot,14,Maps,Moderate,True,True,None,5,False,False,False,Global,On-prem,High,5,11753,3,300,Basic,Education,10000,Tier 2,False,DigitalOcean,5000,2,junior-heavy,247564
Education,Low,3,4,PHP + Laravel,23,None,Basic,True,True,None,4,True,False,True,National,Hybrid,Low,2,48330,8,1000,Basic,Logistics,10000,Tier 2,True,AWS,0,4,senior-heavy,310668
Education,High,6,9,PHP + Laravel,16,Maps,Basic,False,True,Basic,1,False,True,True,Global,Cloud,Low,5,29555,7,600,None,Retail,20000,Rural,False,AWS,10000,9,balanced,757826
Retail,Low,15,2,MEAN,13,All,Moderate,False,False,Basic,6,False,False,True,National,On-prem,High,4,81787,5,1000,Dedicated,Finance,5000,Tier 1,False,DigitalOcean,5000,2,senior-heavy,748540
FinTech,High,7,3,Java + Spring Boot,13,Maps,Advanced,False,True,None,9,True,True,False,Global,On-prem,High,1,94590,2,1000,Dedicated,Healthcare,0,Tier 2,False,None,5000,3,senior-heavy,469612
Travel,Low,9,2,PHP + Laravel,25,SMS,Advanced,False,False,None,9,True,False,True,National,Cloud,High,2,95101,8,600,Dedicated,Education,5000,Rural,False,AWS,10000,2,balanced,259256
FinTech,Medium,6,5,Java + Spring Boot,23,Maps,Moderate,True,False,None,10,True,False,True,Global,Cloud,High,3,69496,4,600,Basic,Finance,20000,Tier 1,True,Azure,3000,5,balanced,502216
Travel,Low,8,11,MERN,20,Maps,Advanced,True,False,Advanced,1,True,False,False,Local,Cloud,High,1,64219,8,600,None,Education,5000,Rural,False,None,5000,11,balanced,1192957
Healthcare,High,9,9,Java + Spring Boot,5,Maps,Advanced,True,True,Advanced,1,True,True,False,National,Cloud,Low,3,66023,6,600,Basic,Education,0,Tier 1,True,DigitalOcean,5000,9,balanced,963883
Travel,Low,7,10,Java + Spring Boot,20,Maps,Basic,True,False,None,4,True,True,True,Global,Cloud,High,4,22199,2,600,Basic,Finance,10000,Tier 2,False,AWS,10000,10,balanced,1058263
E-commerce,Medium,12,12,Python + Django,17,None,Advanced,False,False,Advanced,3,True,True,False,National,Hybrid,Low,5,68247,4,300,Dedicated,Logistics,0,Rural,True,None,0,12,junior-heavy,826177
E-commerce,Medium,4,11,MEAN,24,Payment,Moderate,True,False,Advanced,7,False,True,True,Global,On-prem,Low,5,63051,4,1000,None,Finance,10000,Tier 1,True,AWS,0,11,senior-heavy,875901
E-commerce,High,12,9,MERN,13,Payment,Moderate,False,False,Basic,1,True,True,True,National,On-prem,High,2,55886,7,1000,None,Finance,0,Tier 1,True,Azure,1000,9,senior-heavy,2770918
Retail,Medium,13,4,MERN,16,Maps,Basic,True,False,Basic,8,False,False,False,National,Hybrid,Low,0,17418,7,1000,Dedicated,Finance,10000,Tier 1,True,None,3000,4,senior-heavy,1408307
FinTech,High,12,11,MERN,26,Payment,Moderate,False,True,Basic,8,True,True,False,Global,On-prem,Low,5,88907,6,600,Dedicated,Logistics,5000,Rural,True,DigitalOcean,5000,11,balanced,1972779
Healthcare,Medium,11,11,Java + Spring Boot,26,SMS,Basic,True,True,Advanced,3,False,False,True,Local,On-prem,Medium,1,43421,4,1000,None,Logistics,20000,Tier 1,False,None,0,11,senior-heavy,2989585
Education,Medium,6,9,Java + Spring Boot,8,SMS,Advanced,True,True,Basic,7,True,True,True,Global,Hybrid,High,2,66678,6,300,None,Healthcare,20000,Tier 2,False,AWS,5000,9,junior-heavy,373026
FinTech,High,6,7,Python + Django,8,None,Advanced,True,True,Basic,6,False,False,True,Local,Cloud,Medium,1,94009,7,600,Dedicated,Healthcare,20000,Tier 1,False,Azure,10000,7,balanced,732465
Healthcare,High,6,8,Java + Spring Boot,8,SMS,Basic,True,False,Basic,10,True,False,True,Global,Hybrid,Low,4,56779,8,300,Dedicated,Healthcare,20000,Rural,True,Azure,1000,8,junior-heavy,406802
Education,Medium,14,3,PHP + Laravel,27,Payment,Moderate,False,False,Basic,8,True,True,False,Global,Hybrid,High,4,39229,8,300,Dedicated,Logistics,10000,Tier 2,True,Azure,5000,3,junior-heavy,317806
Travel,Low,6,6,PHP + Laravel,22,Maps,Advanced,True,False,Advanced,8,False,False,False,Local,Hybrid,Low,0,49971,3,1000,None,Finance,5000,Tier 1,False,Azure,3000,6,senior-heavy,1012665
FinTech,Low,7,6,PHP + Laravel,6,Maps,Moderate,True,True,Advanced,9,False,True,False,Global,Hybrid,Low,3,50847,5,1000,Dedicated,Retail,0,Rural,True,AWS,1000,6,senior-heavy,1047401
Travel,High,14,5,Java + Spring Boot,29,All,Advanced,True,True,Basic,8,True,True,True,Local,Hybrid,High,0,49490,2,600,Basic,Retail,20000,Rural,False,Azure,10000,5,balanced,1174901
Healthcare,Low,5,6,MEAN,15,All,Basic,False,False,Advanced,9,False,True,False,Global,Cloud,Low,4,8986,8,1000,Dedicated,Education,10000,Tier 2,False,AWS,0,6,senior-heavy,694476
Healthcare,High,8,5,PHP + Laravel,20,All,Advanced,True,True,Advanced,6,False,True,True,Local,Hybrid,Medium,3,14910,5,300,Basic,Logistics,10000,Rural,False,AWS,3000,5,junior-heavy,287358
FinTech,High,11,10,MEAN,15,All,Basic,True,True,Advanced,9,True,True,True,Global,Hybrid,Low,5,55651,8,600,None,Education,20000,Rural,False,AWS,10000,10,balanced,1642302
E-commerce,Low,14,4,MERN,6,Payment,Moderate,True,True,Basic,7,False,False,False,National,On-prem,Low,3,88300,2,1000,Dedicated,Finance,20000,Rural,True,AWS,0,4,senior-heavy,1423207
Travel,Medium,14,7,PHP + Laravel,7,Maps,Moderate,False,False,Advanced,1,False,True,True,Local,Hybrid,Medium,4,38713,7,300,None,Retail,0,Rural,False,AWS,10000,7,junior-heavy,692381
Retail,Medium,11,4,PHP + Laravel,22,None,Moderate,True,False,None,7,True,True,True,Local,Hybrid,Medium,1,15073,3,1000,Dedicated,Logistics,0,Tier 1,False,AWS,0,4,senior-heavy,824747
Retail,Medium,7,3,Java + Spring Boot,16,Payment,Advanced,True,True,Basic,10,True,True,False,National,On-prem,Medium,4,86481,4,1000,Dedicated,Logistics,0,Tier 1,False,DigitalOcean,3000,3,senior-heavy,437543
Travel,High,9,2,Python + Django,13,Maps,Basic,False,False,Basic,8,False,False,False,Global,Cloud,Low,5,79561,2,300,Basic,Education,5000,Rural,True,DigitalOcean,3000,2,junior-heavy,151121
Travel,Low,14,3,PHP + Laravel,23,SMS,Advanced,True,True,Advanced,5,False,True,False,National,Cloud,High,5,38191,3,1000,Basic,Logistics,0,Rural,True,None,0,3,senior-heavy,1099407
Healthcare,Medium,8,2,MEAN,10,All,Advanced,True,False,Basic,1,True,False,True,Local,On-prem,Medium,1,5660,7,1000,None,Logistics,5000,Tier 2,False,None,1000,2,senior-heavy,413884
Retail,High,10,2,Java + Spring Boot,28,Maps,Advanced,True,False,Advanced,7,False,True,False,National,Cloud,High,3,46305,8,300,Basic,Healthcare,0,Tier 2,True,Azure,3000,2,junior-heavy,156146
Healthcare,Low,10,5,Java + Spring Boot,24,None,Advanced,True,False,Basic,2,False,False,False,Local,Hybrid,Low,5,53907,2,300,None,Finance,10000,Tier 1,True,Azure,0,5,junior-heavy,317766
FinTech,Low,13,2,PHP + Laravel,17,All,Advanced,True,False,None,4,False,False,False,Local,Cloud,Medium,4,18755,8,1000,Dedicated,Education,5000,Rural,False,Azure,10000,2,senior-heavy,520801
Education,Low,14,7,MERN,5,Payment,Advanced,False,True,Advanced,2,True,False,True,Global,Hybrid,Low,0,63258,7,1000,None,Logistics,0,Rural,True,None,5000,7,senior-heavy,2063758
Education,Medium,11,7,Java + Spring Boot,23,All,Basic,False,True,Basic,8,True,True,False,Global,Hybrid,Medium,2,24825,2,600,Dedicated,Finance,20000,Rural,True,AWS,0,7,balanced,976075
Healthcare,Medium,9,5,PHP + Laravel,13,Maps,Advanced,False,False,Advanced,5,False,True,False,Global,Hybrid,Medium,1,48574,6,1000,Dedicated,Healthcare,20000,Tier 2,False,DigitalOcean,3000,5,senior-heavy,1019780
Education,High,15,8,MEAN,8,Payment,Advanced,False,False,Advanced,10,True,True,False,Global,Cloud,Low,1,61872,6,1000,Basic,Finance,0,Tier 1,False,Azure,1000,8,senior-heavy,3042884
Education,High,8,11,PHP + Laravel,14,All,Basic,True,False,Basic,1,True,False,True,Local,Hybrid,High,4,91597,3,300,Dedicated,Education,20000,Rural,True,DigitalOcean,0,11,junior-heavy,734342
Education,Medium,6,2,Python + Django,17,All,Basic,True,True,None,9,False,False,False,National,Cloud,High,1,59656,5,1000,Dedicated,Finance,0,Tier 2,True,None,1000,2,senior-heavy,332161
E-commerce,High,11,10,Java + Spring Boot,22,All,Moderate,False,False,Advanced,8,True,False,False,Global,On-prem,High,0,63222,2,300,Basic,Finance,10000,Tier 2,True,Azure,0,10,junior-heavy,725685
FinTech,Low,15,8,Java + Spring Boot,7,SMS,Advanced,False,True,Advanced,3,False,False,False,Local,Hybrid,Medium,1,97850,7,600,None,Healthcare,0,Rural,True,Azure,3000,8,balanced,1817566
Healthcare,High,14,6,Java + Spring Boot,9,None,Basic,True,False,Advanced,1,True,False,False,Global,On-prem,Medium,4,36059,5,300,None,Logistics,5000,Tier 2,False,Azure,1000,6,junior-heavy,526447
Retail,Low,15,4,PHP + Laravel,16,SMS,Advanced,True,False,None,9,False,False,True,Local,Hybrid,Low,3,76203,2,1000,Basic,Retail,20000,Rural,False,Azure,0,4,senior-heavy,1395379
FinTech,Medium,11,5,MEAN,20,SMS,Basic,False,False,Basic,7,False,False,True,Global,Cloud,High,5,30008,8,600,None,Retail,20000,Tier 1,False,None,3000,5,balanced,938625
Education,Low,6,4,PHP + Laravel,22,Maps,Moderate,False,False,Advanced,10,True,False,True,Global,Cloud,Low,1,33380,5,300,Dedicated,Finance,0,Tier 2,False,DigitalOcean,5000,4,junior-heavy,164242
Education,Low,8,10,Java + Spring Boot,26,All,Basic,True,False,Basic,6,False,False,True,National,Hybrid,Medium,3,82849,3,600,None,Retail,10000,Tier 2,False,AWS,10000,10,balanced,1151607
FinTech,High,4,7,Java + Spring Boot,24,SMS,Moderate,False,False,Advanced,10,False,False,True,Local,Cloud,Low,5,30803,7,300,Basic,Finance,10000,Tier 1,True,None,1000,7,junior-heavy,197108
Education,High,4,3,MERN,8,Maps,Advanced,True,True,Advanced,7,False,True,True,Global,On-prem,Medium,5,16619,3,300,Dedicated,Education,0,Tier 1,True,DigitalOcean,5000,3,junior-heavy,81063
Healthcare,High,8,9,PHP + Laravel,10,All,Advanced,False,False,Advanced,9,False,False,False,Global,Cloud,Low,3,40402,4,600,Basic,Retail,10000,Tier 1,False,AWS,10000,9,balanced,1123316
E-commerce,High,3,4,Python + Django,29,SMS,Moderate,True,False,Basic,10,True,True,False,Local,On-prem,High,3,51790,3,1000,None,Healthcare,10000,Tier 2,True,DigitalOcean,3000,4,senior-heavy,296776
Travel,High,4,12,Java + Spring Boot,18,Payment,Basic,True,True,Basic,2,False,False,False,Global,Hybrid,Medium,1,42077,2,600,None,Finance,10000,Rural,True,Azure,1000,12,balanced,631913
Healthcare,Low,4,6,MEAN,5,SMS,Basic,False,False,Basic,8,False,False,True,National,Cloud,Low,0,34981,8,600,Basic,Finance,20000,Rural,False,Azure,1000,6,balanced,391080
Travel,Low,6,8,Python + Django,29,SMS,Basic,True,True,Basic,2,True,False,False,Global,On-prem,Medium,1,82515,7,600,None,Logistics,0,Rural,True,DigitalOcean,0,8,balanced,785562
Travel,Low,10,6,MERN,12,SMS,Moderate,True,True,Basic,10,True,False,True,Local,Cloud,High,5,62344,7,1000,Dedicated,Education,10000,Tier 2,True,Azure,1000,6,senior-heavy,1609890
Travel,Low,5,3,MERN,16,Payment,Advanced,True,True,Basic,4,False,False,False,Global,Cloud,Low,5,49564,4,600,Dedicated,Education,10000,Tier 2,True,None,10000,3,balanced,290916
Healthcare,High,14,10,Java + Spring Boot,15,SMS,Moderate,True,True,Advanced,3,False,False,False,Global,On-prem,Medium,0,83677,6,600,Basic,Education,20000,Tier 1,False,Azure,3000,10,balanced,1757377
Travel,Medium,8,3,PHP + Laravel,9,All,Moderate,False,False,Advanced,6,True,True,True,Local,Cloud,Low,0,26536,2,1000,Basic,Education,20000,Tier 1,True,None,10000,3,senior-heavy,535197
Healthcare,High,13,10,MERN,5,Payment,Advanced,False,True,Basic,1,False,False,False,Global,Cloud,High,2,69389,2,600,Dedicated,Finance,10000,Tier 2,True,Azure,10000,10,balanced,1587952
Retail,High,11,3,MEAN,23,Payment,Advanced,False,True,Advanced,10,False,False,False,Local,Cloud,Low,4,52682,6,300,Basic,Education,20000,Rural,False,DigitalOcean,1000,3,junior-heavy,222928
Education,High,8,7,Java + Spring Boot,24,Payment,Advanced,True,False,Advanced,5,False,False,False,National,Cloud,High,0,37337,6,1000,None,Logistics,20000,Tier 1,False,AWS,3000,7,senior-heavy,1471172
Travel,Medium,7,5,PHP + Laravel,21,All,Advanced,True,True,None,8,False,True,True,National,On-prem,High,1,30589,4,300,Basic,Finance,0,Rural,False,Azure,3000,5,junior-heavy,285017
Travel,High,14,7,PHP + Laravel,8,All,Advanced,False,True,Advanced,10,False,True,True,National,On-prem,Medium,3,15849,8,300,None,Logistics,5000,Tier 1,False,AWS,5000,7,junior-heavy,717919
Travel,Low,7,2,MEAN,6,SMS,Moderate,True,True,Basic,5,False,True,True,National,Cloud,Medium,4,97739,2,1000,Dedicated,Healthcare,5000,Tier 2,True,None,3000,2,senior-heavy,312853
Education,Medium,11,4,PHP + Laravel,11,All,Advanced,True,True,None,5,False,False,True,Local,Hybrid,Medium,3,47926,4,600,None,Retail,20000,Tier 2,True,DigitalOcean,1000,4,balanced,649384
Healthcare,Low,5,11,Java + Spring Boot,9,None,Basic,True,True,Advanced,3,False,True,False,Global,Cloud,Medium,3,61809,2,600,Basic,Education,5000,Rural,True,Azure,5000,11,balanced,806581
Healthcare,High,11,6,MERN,17,All,Advanced,True,False,None,1,False,True,False,Local,On-prem,High,0,8779,5,1000,Dedicated,Retail,20000,Rural,False,AWS,10000,6,senior-heavy,1684000
Retail,High,3,12,MERN,15,SMS,Advanced,True,True,None,9,False,True,True,Local,Hybrid,Medium,2,64266,5,600,Dedicated,Education,5000,Tier 1,False,DigitalOcean,5000,12,balanced,670883
Travel,Medium,8,6,Python + Django,5,All,Moderate,True,True,Basic,7,True,True,False,Global,Hybrid,High,5,90033,3,1000,Basic,Education,10000,Rural,True,None,1000,6,senior-heavy,1259339
Healthcare,High,7,7,PHP + Laravel,26,Payment,Basic,False,True,Basic,3,True,False,True,Global,Hybrid,High,0,24184,4,1000,None,Finance,5000,Tier 2,False,None,5000,7,senior-heavy,1042761
E-commerce,Low,7,12,MEAN,5,All,Advanced,False,True,Advanced,4,True,True,False,Local,Hybrid,Medium,1,65890,8,600,Dedicated,Healthcare,5000,Rural,False,Azure,3000,12,balanced,1335657
E-commerce,Medium,9,9,MERN,13,SMS,Basic,True,True,None,3,False,False,False,National,Cloud,Medium,3,5532,6,600,Dedicated,Healthcare,5000,Rural,False,None,1000,9,balanced,1004455
Education,Medium,12,11,MERN,12,All,Advanced,False,True,Advanced,7,True,True,False,National,On-prem,Medium,2,60519,3,1000,Basic,Retail,0,Rural,True,Azure,10000,11,senior-heavy,3189594
Retail,High,10,9,PHP + Laravel,9,SMS,Moderate,False,False,None,3,False,True,False,Local,On-prem,Medium,5,85060,7,1000,None,Finance,0,Tier 1,True,None,0,9,senior-heavy,1825378
Retail,High,13,3,MEAN,17,All,Moderate,True,True,Basic,10,True,True,True,Local,Hybrid,Low,3,40428,4,600,Dedicated,Healthcare,20000,Tier 2,True,AWS,10000,3,balanced,644295
Education,Medium,5,2,PHP + Laravel,30,None,Advanced,False,True,None,10,False,False,False,National,Cloud,High,4,911,3,300,Dedicated,Retail,10000,Rural,True,AWS,10000,2,junior-heavy,82068
E-commerce,High,5,2,PHP + Laravel,24,Maps,Moderate,True,True,None,7,True,True,False,Global,Hybrid,High,5,78033,6,300,Dedicated,Education,0,Tier 2,False,AWS,3000,2,junior-heavy,65386
Education,High,4,7,MERN,14,SMS,Basic,True,False,Basic,9,False,True,True,Global,Cloud,Low,4,95696,7,600,Dedicated,Finance,20000,Tier 2,False,None,3000,7,balanced,483730
Retail,High,12,6,Python + Django,21,SMS,Moderate,True,True,Advanced,5,True,True,True,Local,On-prem,High,0,96711,8,600,None,Logistics,10000,Tier 2,False,AWS,10000,6,balanced,1245747
Travel,Medium,8,10,Java + Spring Boot,30,None,Moderate,False,False,None,2,False,False,False,Global,Hybrid,High,0,23070,3,600,Basic,Retail,0,Rural,False,None,1000,10,balanced,1179259
Education,High,15,12,Java + Spring Boot,19,SMS,Advanced,True,False,Advanced,6,True,True,False,National,Cloud,Low,2,4135,4,300,Basic,Logistics,20000,Tier 1,False,Azure,1000,12,junior-heavy,1112828
E-commerce,Medium,12,6,MEAN,16,SMS,Moderate,True,False,None,2,False,True,True,Local,On-prem,High,0,63313,6,300,None,Education,0,Tier 2,False,DigitalOcean,3000,6,junior-heavy,472781
E-commerce,Medium,15,4,Python + Django,27,All,Basic,True,False,None,10,True,False,False,Local,Cloud,High,5,97771,4,600,None,Logistics,5000,Tier 2,True,DigitalOcean,0,4,balanced,742863
Travel,Low,6,6,Java + Spring Boot,9,Payment,Moderate,True,True,Advanced,9,True,True,False,Global,On-prem,Medium,1,92371,8,300,Basic,Logistics,10000,Tier 1,True,AWS,3000,6,junior-heavy,307860
E-commerce,Medium,7,7,MERN,8,SMS,Basic,True,False,Basic,3,False,False,False,National,Cloud,High,5,69974,2,1000,Basic,Logistics,20000,Tier 1,True,None,10000,7,senior-heavy,1016499
Healthcare,Low,4,6,PHP + Laravel,13,Maps,Moderate,True,False,Basic,8,False,True,True,National,Cloud,Medium,3,60505,8,600,None,Retail,20000,Tier 2,True,AWS,5000,6,balanced,345774
Retail,Medium,9,3,Python + Django,23,SMS,Basic,True,True,Basic,7,True,False,True,Global,Hybrid,Medium,3,74395,8,1000,Basic,Logistics,0,Rural,True,Azure,3000,3,senior-heavy,703684
Retail,Medium,13,3,Java + Spring Boot,22,None,Moderate,True,False,Basic,2,True,False,False,National,Hybrid,High,0,11916,3,1000,None,Logistics,20000,Rural,True,Azure,10000,3,senior-heavy,813322
Retail,Medium,13,9,MEAN,11,Maps,Moderate,False,False,Advanced,6,True,True,False,Local,On-prem,Low,2,71993,2,300,None,Logistics,10000,Tier 2,True,DigitalOcean,10000,9,junior-heavy,877427
Travel,Medium,3,8,Python + Django,17,SMS,Advanced,True,True,Basic,3,True,False,False,National,Cloud,Medium,5,16505,3,300,None,Finance,20000,Rural,True,Azure,10000,8,junior-heavy,284262
Travel,Medium,14,12,Python + Django,30,All,Moderate,True,False,Advanced,7,False,False,False,Local,Cloud,Medium,4,1023,6,600,Basic,Education,5000,Rural,False,None,5000,12,balanced,2017511
Travel,Medium,11,7,MERN,23,SMS,Advanced,True,True,Advanced,9,False,False,True,Global,Hybrid,Low,1,61975,7,1000,Dedicated,Finance,0,Rural,False,AWS,0,7,senior-heavy,1824878
Education,High,8,2,Java + Spring Boot,18,Maps,Moderate,False,True,None,10,False,False,True,Global,On-prem,High,1,75135,2,1000,Dedicated,Retail,20000,Rural,True,DigitalOcean,5000,2,senior-heavy,403034
FinTech,Medium,10,4,MEAN,24,Maps,Moderate,False,True,Advanced,2,True,True,False,National,Cloud,Medium,5,31008,5,300,None,Logistics,0,Tier 1,False,AWS,10000,4,junior-heavy,361935
Healthcare,High,5,4,Python + Django,28,Payment,Basic,False,True,Advanced,5,True,True,True,National,On-prem,Medium,2,62475,7,1000,Dedicated,Education,20000,Tier 2,False,None,5000,4,senior-heavy,555910
Education,Medium,7,10,Java + Spring Boot,21,None,Basic,False,False,Advanced,5,False,False,False,Local,On-prem,High,4,51319,5,300,Dedicated,Education,0,Rural,True,DigitalOcean,5000,10,junior-heavy,494344
E-commerce,Low,13,4,Python + Django,8,All,Basic,False,False,None,5,False,True,True,Local,Hybrid,Low,0,77924,7,1000,None,Logistics,0,Rural,True,AWS,3000,4,senior-heavy,1293703
Travel,Low,4,4,Java + Spring Boot,14,SMS,Advanced,True,False,Basic,7,False,False,True,Local,On-prem,Low,3,50983,4,1000,None,Retail,5000,Tier 2,True,None,5000,4,senior-heavy,455567
Education,Low,4,5,MEAN,22,SMS,Basic,True,False,Advanced,5,True,True,True,Local,Hybrid,High,2,58492,2,600,Basic,Education,20000,Rural,True,AWS,10000,5,balanced,307739
Retail,Low,13,6,PHP + Laravel,27,SMS,Moderate,False,False,Advanced,2,True,True,False,Global,On-prem,Low,4,70213,4,600,Basic,Retail,10000,Tier 2,True,AWS,1000,6,balanced,1267107
FinTech,High,8,7,MEAN,10,All,Basic,False,True,Basic,7,True,False,False,Local,Hybrid,Medium,5,24883,3,1000,None,Education,20000,Tier 1,True,None,0,7,senior-heavy,1445034
Education,Low,9,10,MERN,15,None,Moderate,True,False,None,4,False,True,True,Local,Cloud,High,1,64130,7,300,None,Healthcare,20000,Rural,True,Azure,3000,10,junior-heavy,684942
FinTech,Low,14,4,Python + Django,24,Payment,Advanced,True,True,None,8,True,True,True,National,On-prem,High,5,52742,4,1000,None,Logistics,5000,Rural,True,DigitalOcean,0,4,senior-heavy,1364490
E-commerce,Medium,15,2,MEAN,29,SMS,Basic,False,True,Basic,4,True,True,True,Global,Hybrid,Medium,1,2098,5,300,None,Finance,5000,Tier 1,True,AWS,10000,2,junior-heavy,219476
Education,High,14,11,MEAN,11,Payment,Advanced,False,False,Basic,4,True,True,True,Global,On-prem,High,0,82257,8,1000,Basic,Retail,20000,Tier 2,True,Azure,3000,11,senior-heavy,3879388
Retail,High,6,10,MEAN,19,Payment,Moderate,True,True,None,3,False,False,True,Local,Hybrid,Low,0,84573,4,300,Basic,Education,10000,Tier 2,False,DigitalOcean,0,10,junior-heavy,485207
Healthcare,Low,12,2,MERN,20,All,Basic,True,True,Advanced,8,False,False,True,Global,Hybrid,Medium,1,14485,4,600,None,Finance,0,Tier 1,False,Azure,0,2,balanced,386478
Education,Low,9,3,MEAN,24,SMS,Basic,False,False,None,8,True,False,False,Local,On-prem,Low,0,90779,6,300,None,Retail,20000,Tier 1,True,None,5000,3,junior-heavy,185854
Retail,Low,10,4,PHP + Laravel,10,All,Advanced,True,True,Basic,9,False,True,False,National,On-prem,Low,5,56163,7,600,None,Education,5000,Tier 2,False,Azure,3000,4,balanced,656487
E-commerce,Medium,12,11,PHP + Laravel,6,SMS,Advanced,False,False,Advanced,2,False,False,True,Local,Hybrid,Low,5,95966,5,300,None,Education,20000,Tier 2,False,Azure,0,11,junior-heavy,1106936
Education,High,13,2,PHP + Laravel,5,SMS,Moderate,True,False,None,6,False,True,True,National,Hybrid,Medium,4,4337,4,300,Basic,Retail,10000,Rural,True,AWS,5000,2,junior-heavy,175260
E-commerce,Medium,12,2,Java + Spring Boot,19,All,Basic,False,False,None,9,True,True,True,National,Cloud,High,0,85120,5,600,Dedicated,Logistics,10000,Rural,True,Azure,10000,2,balanced,417960
E-commerce,Medium,8,6,Java + Spring Boot,19,SMS,Advanced,True,False,Advanced,9,False,False,False,Global,Hybrid,Low,1,60064,2,600,None,Healthcare,20000,Tier 1,False,AWS,10000,6,balanced,685668
Healthcare,High,4,6,MERN,14,SMS,Advanced,True,False,Basic,7,False,True,False,Local,Cloud,Low,1,68157,7,300,Basic,Healthcare,5000,Rural,False,DigitalOcean,0,6,junior-heavy,171330
Retail,Low,10,12,Java + Spring Boot,10,Maps,Basic,False,False,Basic,1,True,False,False,National,Cloud,High,1,93348,6,1000,Basic,Education,20000,Tier 1,True,Azure,10000,12,senior-heavy,2872303
FinTech,Low,6,2,MEAN,22,None,Advanced,False,False,None,6,False,True,False,Local,Cloud,Medium,3,19105,5,300,Basic,Education,5000,Tier 1,False,DigitalOcean,3000,2,junior-heavy,92577
E-commerce,High,10,11,Python + Django,6,Payment,Advanced,True,False,None,7,True,False,False,Local,On-prem,Low,4,84108,3,600,Dedicated,Logistics,20000,Tier 1,False,Azure,1000,11,balanced,1461457
Education,Low,3,10,Python + Django,15,All,Advanced,True,False,Basic,3,False,False,False,National,Cloud,Medium,2,46102,4,300,Basic,Logistics,0,Tier 1,True,None,5000,10,junior-heavy,307603
Education,High,14,9,Python + Django,9,All,Advanced,True,True,None,5,False,False,True,Global,On-prem,Low,0,53718,7,600,Basic,Healthcare,5000,Tier 1,False,Azure,3000,9,balanced,1987230
FinTech,High,6,8,Java + Spring Boot,20,All,Advanced,False,True,None,1,True,False,False,Global,Hybrid,Medium,0,85746,7,300,Basic,Healthcare,20000,Tier 1,False,Azure,3000,8,junior-heavy,312775
FinTech,High,3,6,Python + Django,23,SMS,Moderate,False,True,Basic,9,True,False,True,Global,Cloud,Low,2,60479,7,300,None,Retail,0,Tier 1,True,DigitalOcean,5000,6,junior-heavy,162126
Retail,High,8,12,MERN,21,Payment,Advanced,True,True,Advanced,3,False,False,False,National,Hybrid,High,5,47566,2,600,Dedicated,Logistics,0,Tier 2,True,AWS,3000,12,balanced,1258816
Healthcare,Low,5,6,MEAN,9,All,Basic,True,True,Basic,8,True,True,True,Local,On-prem,Medium,2,90627,4,1000,None,Healthcare,20000,Rural,False,Azure,3000,6,senior-heavy,708328
Travel,Low,14,2,MEAN,14,Payment,Basic,True,True,Basic,2,True,True,False,National,Cloud,Low,0,4348,8,600,Dedicated,Logistics,5000,Rural,True,None,0,2,balanced,337696
E-commerce,Low,4,2,PHP + Laravel,11,All,Basic,True,False,None,2,True,False,False,National,Cloud,High,5,80391,3,600,Dedicated,Logistics,10000,Tier 1,True,AWS,0,2,balanced,129129
Retail,Low,11,5,MERN,11,All,Advanced,False,False,Advanced,10,True,False,True,Local,On-prem,Medium,3,28135,6,300,None,Healthcare,5000,Tier 1,False,AWS,3000,5,junior-heavy,463684
Travel,Medium,10,10,PHP + Laravel,28,None,Basic,False,False,None,7,False,False,False,Global,On-prem,Low,4,53433,4,300,Basic,Education,20000,Tier 1,False,DigitalOcean,1000,10,junior-heavy,796887
Retail,High,5,12,MERN,8,Payment,Moderate,False,True,Advanced,3,True,False,True,National,Cloud,High,3,16140,3,300,Basic,Healthcare,0,Tier 2,False,None,5000,12,junior-heavy,459897
Retail,Medium,8,12,MEAN,29,SMS,Basic,True,False,Basic,8,True,True,True,Local,Hybrid,Low,0,65341,7,600,None,Education,20000,Tier 2,False,Azure,10000,12,balanced,1751977
Retail,Medium,7,11,Python + Django,11,Maps,Advanced,False,False,Advanced,5,False,True,True,National,Cloud,Medium,3,41279,8,1000,Basic,Healthcare,0,Tier 2,True,AWS,0,11,senior-heavy,1887848
Healthcare,Medium,5,12,Python + Django,20,None,Advanced,False,False,Basic,9,True,True,False,National,On-prem,High,3,80913,7,1000,Basic,Retail,5000,Tier 2,True,AWS,3000,12,senior-heavy,1424411
Retail,Low,12,4,Java + Spring Boot,17,None,Moderate,False,False,Basic,6,True,True,True,Local,Hybrid,Medium,4,11183,7,300,None,Retail,10000,Tier 1,False,Azure,3000,4,junior-heavy,397690
Education,High,3,7,PHP + Laravel,18,Maps,Basic,False,True,Basic,7,False,False,True,National,Cloud,High,5,27038,4,1000,Basic,Logistics,20000,Rural,False,Azure,0,7,senior-heavy,536517
